Simulation Run,Day,Round,Agent Type,Satisfaction
2,197,21,2,0.8072916666666666
2,197,22,1,0.0
2,197,22,2,0.8229166666666666
2,197,23,1,0.0
2,197,23,2,0.8229166666666666
2,197,24,1,0.0
2,197,24,2,0.8229166666666666
2,197,25,1,0.0
2,197,25,2,0.8229166666666666
2,197,26,1,0.0
2,197,26,2,0.8229166666666666
2,197,27,1,0.0
2,197,27,2,0.8255208333333334
2,197,28,1,0.0
2,197,28,2,0.828125
2,197,29,1,0.0
2,197,29,2,0.828125
2,197,30,1,0.0
2,197,30,2,0.828125
2,197,31,1,0.0
2,197,31,2,0.828125
2,197,32,1,0.0
2,197,32,2,0.828125
2,197,33,1,0.0
2,197,33,2,0.8307291666666666
2,197,34,1,0.0
2,197,34,2,0.8307291666666666
2,197,35,1,0.0
2,197,35,2,0.8307291666666666
2,197,36,1,0.0
2,197,36,2,0.8307291666666666
2,197,37,1,0.0
2,197,37,2,0.8307291666666666
2,197,38,1,0.0
2,197,38,2,0.8307291666666666
2,197,39,1,0.0
2,197,39,2,0.8307291666666666
2,197,40,1,0.0
2,197,40,2,0.8307291666666666
2,197,41,1,0.0
2,197,41,2,0.8307291666666666
2,197,42,1,0.0
2,197,42,2,0.8307291666666666
2,197,43,1,0.0
2,197,43,2,0.8307291666666666
2,198,0,1,0.0
2,198,0,2,0.24739583333333334
2,198,1,1,0.0
2,198,1,2,0.2942708333333333
2,198,2,1,0.0
2,198,2,2,0.3359375
2,198,3,1,0.0
2,198,3,2,0.3880208333333333
2,198,4,1,0.0
2,198,4,2,0.4348958333333333
2,198,5,1,0.0
2,198,5,2,0.4713541666666667
2,198,6,1,0.0
2,198,6,2,0.5052083333333334
2,198,7,1,0.0
2,198,7,2,0.5494791666666666
2,198,8,1,0.0
2,198,8,2,0.5755208333333334
2,198,9,1,0.0
2,198,9,2,0.6067708333333334
2,198,10,1,0.0
2,198,10,2,0.6484375
2,198,11,1,0.0
2,198,11,2,0.6796875
2,198,12,1,0.0
2,198,12,2,0.7057291666666666
2,198,13,1,0.0
2,198,13,2,0.7213541666666666
2,198,14,1,0.0
2,198,14,2,0.7291666666666666
2,198,15,1,0.0
2,198,15,2,0.7552083333333334
2,198,16,1,0.0
2,198,16,2,0.7682291666666666
2,198,17,1,0.0
2,198,17,2,0.78125
2,198,18,1,0.0
2,198,18,2,0.7916666666666666
2,198,19,1,0.0
2,198,19,2,0.7942708333333334
2,198,20,1,0.0
2,198,20,2,0.8020833333333334
2,198,21,1,0.0
2,198,21,2,0.8046875
2,198,22,1,0.0
2,198,22,2,0.8125
2,198,23,1,0.0
2,198,23,2,0.8255208333333334
2,198,24,1,0.0
2,198,24,2,0.828125
2,198,25,1,0.0
2,198,25,2,0.8307291666666666
2,198,26,1,0.0
2,198,26,2,0.8333333333333334
2,198,27,1,0.0
2,198,27,2,0.8333333333333334
2,198,28,1,0.0
2,198,28,2,0.8359375
2,198,29,1,0.0
2,198,29,2,0.8359375
2,198,30,1,0.0
2,198,30,2,0.8359375
2,198,31,1,0.0
2,198,31,2,0.8359375
2,198,32,1,0.0
2,198,32,2,0.8359375
2,198,33,1,0.0
2,198,33,2,0.8385416666666666
2,198,34,1,0.0
2,198,34,2,0.8385416666666666
2,198,35,1,0.0
2,198,35,2,0.8411458333333334
2,198,36,1,0.0
2,198,36,2,0.8411458333333334
2,198,37,1,0.0
2,198,37,2,0.8411458333333334
2,198,38,1,0.0
2,198,38,2,0.8411458333333334
2,198,39,1,0.0
2,198,39,2,0.84375
2,198,40,1,0.0
2,198,40,2,0.84375
2,198,41,1,0.0
2,198,41,2,0.84375
2,198,42,1,0.0
